날짜,운동종목,제목/코스요약,소요시간(분),운동강도(RPE),이동거리(km),페이스,누적상승고도(m),최고고도(m),수심(m),세부종목명,장소/위치,날씨,착용장비,운동메모
2026-04-01,걷기,소바우->에일린의뜰 언덕길 오르막길 걷기 총 4.9km.(50분 소요) ,50,6,4.9,"10'12""",,,,,소바우,맑음,,소바우->에일린의뜰 언덕길 오르막길 걷기 총 4.9km.(50분 소요) 내일은 봉월공원으로 고고~
2026-04-02,걷기,SUA -> 남산 걷기 (왕복35분??) 생각 보다 계속 오르막이네? ㅋ,35,6,4.0,"8'45""",,,,CWT,남산,맑음,,SUA -> 남산 걷기 (왕복35분??) 생각 보다 계속 오르막이네? ㅋ
2026-04-07,걷기,수아->신정초 오르막 걷기 총 3.6km 에게게게,43,6,3.6,"11'57""",,,,,수아,맑음,,수아->신정초 오르막 걷기 총 3.6km 에게게게
2026-04-08,걷기,봉원 공원 스텝 훈련. 줄넘기,35,6,,,,,,,,맑음,,봉원 공원 스텝 훈련. 줄넘기
2026-04-09,걷기,봉월 공원 스텝 훈련 맛뵈기. 나만 다리 후덜덜덜.,35,9,,,,,,,,맑음,,봉월 공원 스텝 훈련 맛뵈기. 나만 다리 후덜덜덜.
2026-04-10,런닝,남산공원까지 뛰고 걷기,35,6,6.0,"5'50""",,,,CWT,남산공원,맑음,,남산공원까지 뛰고 걷기
2026-04-14,걷기,남산공원까지 걷기,35,6,4.0,"8'45""",,,,CWT,남산공원,맑음,,남산공원까지 걷기
2026-04-19,걷기,"절, 스쿼트 쬐매, 종갓집 도서관 걷기(책 반납)",35,6,,,,,,,,맑음,,"절, 스쿼트 쬐매, 종갓집 도서관 걷기(책 반납)"
2026-04-21,걷기,19층 계단 오르기 2회 + 스페셜2,25,6,,,,,,,,맑음,,19층 계단 오르기 2회 + 스페셜2
2026-04-22,걷기,19층 계단 오르기 3회 + 스페셜3,25,6,,,,,,,,맑음,,19층 계단 오르기 3회 + 스페셜3
2026-05-07,걷기,남산까지 같이 걷기. 행복한 시간,35,6,,,,,,,남산,맑음,,남산까지 같이 걷기. 행복한 시간
2026-05-15,걷기,문수테니스장 걷기. 선물로 공 두개 전달(줍줍),35,6,,,,,,,문수테니스장,맑음,,문수테니스장 걷기. 선물로 공 두개 전달(줍줍)
2026-05-17,런닝,유곡-수아 런닝 헥헥,35,8,,,,,,,유곡,맑음,,유곡-수아 런닝 헥헥
2026-05-18,런닝,인라인장 런닝. 새벽부터 인라인 하시는 어르신 두분. 피클볼 벽치기 하시,35,6,,,,,,,,맑음,,인라인장 런닝. 새벽부터 인라인 하시는 어르신 두분. 피클볼 벽치기 하시는 어르신 한분
2026-05-26,걷기,"아침에 남산 걷기, 저녁에 언덕 걷기 1.5만보",117,6,9.8,"11'56""",,,,,남산,맑음,,"아침에 남산 걷기, 저녁에 언덕 걷기 1.5만보"
2026-05-28,등산,본의 아니게 뒷산 등산 + 스페셜,35,6,,,200,,,,,맑음,,본의 아니게 뒷산 등산 + 스페셜
2026-06-04,런닝,문수테니스장 런닝(인터벌 쪼메 만에 지침),35,6,,,,,,,문수테니스장,맑음,,문수테니스장 런닝(인터벌 쪼메 만에 지침)
2026-06-05,걷기,남산 왼손 첫 연습. 안되네.,35,6,,,,,,,남산,맑음,,남산 왼손 첫 연습. 안되네.
2026-06-07,등산,문수산 우천 걷기,35,6,,,400,600,,,문수산,비,,문수산 우천 걷기
2026-06-09,런닝,테니스장 및 축구장 주변 러닝+빠르게 걷기 (6km),36,6,6.0,"6'00""",,,,,,맑음,,테니스장 및 축구장 주변 러닝+빠르게 걷기 (6km)
2026-06-10,걷기,야음에서 랠리 및 숏게임 대결 승리! (양손 포핸드 백핸드) 후!!!!!,35,6,,,,,,,,맑음,,야음에서 랠리 및 숏게임 대결 승리! (양손 포핸드 백핸드) 후!!!!!!!!!!!!
2026-06-12,걷기,1.5만보인데 기억이 안나네 머했지,117,6,9.8,"11'56""",,,,,,맑음,,1.5만보인데 기억이 안나네 머했지
2026-06-14,걷기,남산 ~ 무거동 2시간 반? 왜 꼴랑 1.2만보지 ㅎㅎ,120,6,7.8,"15'23""",,,,,남산,맑음,,남산 ~ 무거동 2시간 반? 왜 꼴랑 1.2만보지 ㅎㅎ
2026-06-17,런닝,"남산루-태화강전망대 오붓한 시간~ 3km / 스페셜2, 유곡~남산 런닝 ",18,8,3.0,"6'00""",,,,,태화강,맑음,,"남산루-태화강전망대 오붓한 시간~ 3km / 스페셜2, 유곡~남산 런닝 땀 뻘뻘
남산 밑에 편의점에서 기다리다가 플레이 볼려고 올라 갔는데 때마침 종료하여 접선"
2026-06-18,걷기,"문수 40분 걷기, 약간 피곤스~",40,6,4.0,"10'00""",,,,CWT,,맑음,,"문수 40분 걷기, 약간 피곤스~"
2026-06-21,걷기,태화강 걷기 1.5hr,90,6,7.0,"12'51""",,,,CWT,태화강,맑음,,태화강 걷기 1.5hr
2026-06-22,런닝,태화강 7km 러닝 (한계인가) + 2km 걷기,42,9,7.0,"6'00""",,,,,태화강,맑음,,태화강 7km 러닝 (한계인가) + 2km 걷기
2026-06-23,걷기,아침 30분 문수테니스장 걷기.,30,6,,,,,,,문수테니스장,맑음,,"아침 30분 문수테니스장 걷기.
7월 필테 등록해서 다행(누군가는 등록 못하게 되어 지송~~)"
2026-06-25,런닝,문수테니스장 걷기 40분/태화강~삼호교~물고기다리 7km 런닝 and 수,40,6,7.0,"5'43""",,,,,태화강,맑음,,"문수테니스장 걷기 40분/태화강~삼호교~물고기다리 7km 런닝 and 수아까지 걷기, 2.1만보(총 19km)"
2026-06-26,걷기,"유곡~수아 숙취해소용 걷기 30분, 스페셜 복구 안됨 두둥. 시계 분실 ",30,6,,,,,,,유곡,맑음,,"유곡~수아 숙취해소용 걷기 30분, 스페셜 복구 안됨 두둥. 시계 분실 사건 발생
분리수거장을 두시간 넘게 찾았지만 그는 떠나고 없었다. 정신머리 하고는...자존감 하락
호연이 한테 폰 잃어 버렸을 때 혼낸거 사과함. 오히려 호연이가 위로함. 괜찮다고
켜지지 않는 시계. 차라리 누가 주워서 써라 마. 그게 마음이 덜 아프것다."
